,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,0.0882729271,0.1266688121,0.1600700054,0.1826499389,0.1995465871,0.2039330872,0.209890645,0.210088925,0.2104347199,0.2113281364,0.211354817,0.2115162528,0.2208891449,0.2214675714,0.2218756282
14,0.157906034,0.2346746491,0.2945595656,0.3197761402,0.3457139525,0.3531355849,0.3636059507,0.3670466964,0.3740660917,0.3745454287,0.3745470697,0.3755461863,0.3756434809,0.3773872352,0.3774158031
15,0.157906034,0.2346746491,0.2945595656,0.3197761402,0.3457139525,0.3531355849,0.3636059507,0.3670466964,0.3740660917,0.3745454287,0.3745470697,0.3755461863,0.3756434809,0.3773872352,0.3774158031
16,0.2396739636,0.2775731167,0.3633789153,0.3721397374,0.3869050122,0.4318266111,0.4462857055,0.4475092047,0.450809689,0.4510519155,0.4510535566,0.4513999417,0.4514335462,0.4529261977,0.4529391472
17,0.0186478498,0.022867115,0.0261187689,0.0307562271,0.0315080348,0.0334103783,0.0336718494,0.035637383,0.0356843272,0.0356988011,0.0356995415,0.0357541862,0.0357604297,0.0358868721,0.0358899338
18,0.2931055819,0.4322999401,0.5188103824,0.5763584364,0.6810722093,0.6862402761,0.6934896546,0.6937433618,0.6947295094,0.6954860399,0.6954872944,0.6954910539,0.6955500105,0.6955553449,0.6955699887
19,0.0832678246,0.1220701897,0.1713671855,0.1947922822,0.2113264657,0.2154351095,0.2216577608,0.2218524588,0.2221903447,0.223079922,0.2231066026,0.2232618454,0.2344855157,0.2351511825,0.2355592393
20,0.047723256,0.0552888945,0.0604097978,0.0765838238,0.077417605,0.0875643345,0.0878278191,0.0949291777,0.0949761219,0.0949905958,0.0949913362,0.0951297122,0.0951359557,0.0953003286,0.0953033903
21,0.1229289194,0.1711278036,0.2080208677,0.2356935233,0.2574883222,0.2646638117,0.2681771709,0.2685874104,0.2693268629,0.2704228596,0.2704664491,0.2707156595,0.2750849493,0.2753414616,0.2759285328
22,0.1187667914,0.170724066,0.2073778679,0.234578483,0.2567241223,0.2635841246,0.2672522791,0.2676199873,0.2682965198,0.2694317124,0.2694631124,0.2697287677,0.2743726752,0.2746338971,0.2752075074
